"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000169429",1469.99414821226,2.37203814335563,0.126824388750966,18.7033280169273,4.65092655542221e-78,6.57920070530026e-74
"ENSG00000134339",356.444568372718,2.63607265481481,0.176020313879157,14.975957017237,1.05439049569996e-50,7.4577039760858e-47
"ENSG00000115009",253.894338727663,3.1996541576511,0.217777454997121,14.6923112757167,7.22081982894915e-49,3.40485724334382e-45
"ENSG00000291237",1789.64348240037,1.5934668337858,0.125902288694765,12.6563770230497,1.03150907619515e-36,3.64793184796415e-33
"ENSG00000118503",1292.49545503471,1.71322675186871,0.139206214355184,12.3071140164577,8.29360820687254e-35,2.34642763388838e-31
"ENSG00000173432",603.399327190374,2.59545909420597,0.218035983489426,11.9038107961287,1.13063628153218e-32,2.66566347309238e-29
"ENSG00000090339",916.642379530429,1.94481495699503,0.169521300269655,11.4723928727625,1.81568009727523e-30,3.6692300937222e-27
"ENSG00000163216",209.166651444918,2.93778528036912,0.258191620210972,11.3783138196686,5.36265521381938e-30,9.48251508183612e-27
"ENSG00000143546",1091.7310860827,1.78354830520499,0.158053279306783,11.2844751657642,1.5657329359622e-29,2.46098423468014e-26
"ENSG00000136688",162.269409668568,2.66120498986247,0.239565194218815,11.1084792535921,1.14085845142784e-28,1.61385836538983e-25
"ENSG00000122641",994.092624013367,1.69975436675798,0.156249774486066,10.8784436479911,1.46035005866323e-27,1.87801017544091e-24
"ENSG00000125730",3896.13228992251,1.49997673698392,0.139488049354514,10.7534426348718,5.70902133756503e-27,6.72998465343291e-24
"ENSG00000163739",1253.55440969057,1.40754884321115,0.132025400119051,10.6611973297708,1.54594226391985e-26,1.68222302041617e-23
"ENSG00000185479",1738.70976050313,1.62666710047156,0.15801061252177,10.2946699244485,7.44745535081239e-25,7.52512167089944e-22
"ENSG00000100985",198.836728754241,2.63763031000215,0.257613793652457,10.2386998483495,1.33011743317183e-24,1.25438941397658e-21
"ENSG00000163874",608.685782401551,1.73308604007278,0.177233602961322,9.77854092629937,1.39202746677491e-22,1.23072628406237e-19
"ENSG00000145901",3094.24232638847,1.23515927684005,0.128600773902335,9.6046022069671,7.64525670054205e-22,6.36175301681576e-19
"ENSG00000163220",8450.65353296449,1.14572102292328,0.11955606971485,9.5831271942604,9.41501735280427e-22,7.39915752626496e-19
"ENSG00000165949",221.190616260115,2.46993306865126,0.263120629818923,9.38707493346699,6.16896273485483e-21,4.59295509722402e-18
"ENSG00000185215",509.040593074009,1.65272575335963,0.183625523859451,9.00052301348177,2.2464491600495e-19,1.58891349090301e-16
"ENSG00000108342",45.7688448296211,5.22289373246428,0.583941543420098,8.94420647291889,3.74631615171431e-19,2.52358991819765e-16
"ENSG00000157601",213.344704170358,2.26171813735946,0.256624358907871,8.81334159775312,1.21469699080312e-18,7.81050165086407e-16
"ENSG00000128342",597.310783071624,1.36274050047904,0.15786888775163,8.63210300577402,6.02341022289715e-18,3.70465917448274e-15
"ENSG00000140519",726.113127401603,1.36232458021355,0.158899276443231,8.57351028089964,1.00377566155953e-17,5.91642104517547e-15
"ENSG00000113070",648.676710859112,1.26247455170835,0.153481177442142,8.22559855708866,1.94218489582738e-16,1.09896590145496e-13
"ENSG00000241794",314.98649732693,1.65273456290075,0.201353821963156,8.20811120835428,2.24695055199453e-16,1.22251394263518e-13
"ENSG00000125538",2970.00351492134,1.05895835738849,0.129399645589641,8.18362641229109,2.75427059848469e-16,1.44303377356164e-13
"ENSG00000136244",81.1486976830109,2.77615602034593,0.341241142762421,8.13546689555763,4.10353761323259e-16,2.07316582417101e-13
"ENSG00000008517",616.313628255651,1.2164988540676,0.157053070440998,7.74578205094444,9.49953332561692e-15,4.633806842213e-12
"ENSG00000111331",627.132863287204,1.2012033385047,0.156705905228111,7.66533550063833,1.78364336730037e-14,8.41047302461036e-12
