"","Mock_1","Mock_2","Mock_3","SARS_CoV_2_1","SARS_CoV_2_2"
"ENSG00000142611",29.9551259096651,22.6757340610516,21.7190349626404,25.6454017411888,21.38741570083
"ENSG00000284616",0,0,0,0,0
"ENSG00000260972",0,0,0,0,0
"ENSG00000229280",0,0,0,0,0
"ENSG00000232596",0,0,0,0,0
"ENSG00000231510",0,0,0,0,0
"ENSG00000149527",992.798458720329,1258.50324038836,919.629664602327,1461.78789924776,995.703019849751
"ENSG00000272235",0,0,0,0,0
"ENSG00000284694",0,0,0,0,0
"ENSG00000224387",5.13516444165688,9.5935797950603,6.28708906813275,6.90453123801238,4.75275904462888
"ENSG00000284674",0,0,0,0,0
"ENSG00000224338",0,0,0,0,0
"ENSG00000287727",1.71172148055229,1.74428723546551,0,0,0
"ENSG00000215720",0,0,0,0,0
"ENSG00000142606",0.855860740276146,1.74428723546551,0,0,4.75275904462888
"ENSG00000225931",0,1.74428723546551,0.571553551648432,0.98636160543034,0
"ENSG00000229393",5.99102518193302,8.72143617732754,4.57242841318746,5.91816963258204,9.50551808925776
"ENSG00000287586",0,0,0.571553551648432,0,0
"ENSG00000227169",0,0,0,0,0
"ENSG00000283356",0,0,0,0,0
"ENSG00000225387",0,0,0,0,0
"ENSG00000048707",1618.43265986219,1542.82205976924,1556.34032113868,1585.08309992656,1497.1190990581
"ENSG00000225196",0,0,0,0,0
"ENSG00000279625",0,0,0,0,0
"ENSG00000285833",0,0,0,0,0
"ENSG00000280222",0,0,0,0,0
"ENSG00000285945",0,0,0,0,0
"ENSG00000197921",1.71172148055229,1.74428723546551,1.14310710329686,0,4.75275904462888
"ENSG00000284666",0,0,0,0,0
"ENSG00000234397",0.855860740276146,0,0,0,0
"ENSG00000233419",0,0,0,0,0
"ENSG00000225011",0,0,0,0,0
"ENSG00000284676",0,0,0,0,0
"ENSG00000270927",0,0,0,0,0
"ENSG00000230523",0.855860740276146,0.872143617732754,0,0,0
"ENSG00000233234",0,0,0,0,0
"ENSG00000189337",118.964642898384,160.474425662827,152.033244738483,161.763303290576,137.830012294238
"ENSG00000283259",0,0,0,0,0
"ENSG00000175147",23.1082399874559,25.2921649142499,28.5776775824216,27.6181249520495,19.0110361785155
"ENSG00000230214",0,0,0,0,0
"ENSG00000272420",1.71172148055229,5.23286170639653,1.14310710329686,2.95908481629102,0
"ENSG00000236648",0,0,0,0,0
"ENSG00000232273",0.855860740276146,0,0,0,0
"ENSG00000130940",161.757679912192,210.186611873594,155.462566048374,186.422343426334,102.184319459521
"ENSG00000227527",0.855860740276146,0.872143617732754,1.14310710329686,0.98636160543034,0
"ENSG00000163873",0,0,0,0.98636160543034,0
"ENSG00000117215",0,0,0,0,0
"ENSG00000230163",0,0,0,0,0
"ENSG00000215895",0.855860740276146,1.74428723546551,2.28621420659373,1.97272321086068,4.75275904462888
"ENSG00000274944",0.855860740276146,0,9.14485682637492,2.95908481629102,0
"ENSG00000272078",6.84688592220917,4.36071808866377,9.71641037802335,3.94544642172136,4.75275904462888
